Date,Daily Dota 2 Peak Player count
11/15/2016 0:00,831356
11/16/2016 0:00,830947
11/17/2016 0:00,861867
11/18/2016 0:00,914620
11/19/2016 0:00,987571
11/20/2016 0:00,936117
11/21/2016 0:00,800134
11/22/2016 0:00,840040
11/23/2016 0:00,829744
11/24/2016 0:00,837744
11/25/2016 0:00,901685
11/26/2016 0:00,978078
11/27/2016 0:00,923811
11/28/2016 0:00,821273
11/29/2016 0:00,843972
11/30/2016 0:00,818679
12/1/2016 0:00,848867
12/2/2016 0:00,934549
12/3/2016 0:00,967219
12/4/2016 0:00,955268
12/5/2016 0:00,879093
12/6/2016 0:00,837835
12/7/2016 0:00,848425
12/8/2016 0:00,862031
12/9/2016 0:00,931048
12/10/2016 0:00,1014671
12/11/2016 0:00,1007709
12/12/2016 0:00,926544
12/13/2016 0:00,837491
12/14/2016 0:00,869479
12/15/2016 0:00,853568
12/16/2016 0:00,904964
12/17/2016 0:00,969426
12/18/2016 0:00,946978
12/19/2016 0:00,842047
12/20/2016 0:00,846536
12/21/2016 0:00,836669
12/22/2016 0:00,840496
12/23/2016 0:00,882051
12/24/2016 0:00,882639
12/25/2016 0:00,872565
12/26/2016 0:00,855793
12/27/2016 0:00,854494
12/28/2016 0:00,852077
12/29/2016 0:00,849283
12/30/2016 0:00,876045
12/31/2016 0:00,777536
1/1/2017 0:00,850626
1/2/2017 0:00,886188
1/3/2017 0:00,850585
1/4/2017 0:00,851594
1/5/2017 0:00,860155
1/6/2017 0:00,891607
1/7/2017 0:00,951912
1/8/2017 0:00,900939
1/9/2017 0:00,751709
1/10/2017 0:00,792744
1/11/2017 0:00,817786
1/12/2017 0:00,804433
1/13/2017 0:00,848643
1/14/2017 0:00,924825
1/15/2017 0:00,902299
1/16/2017 0:00,807531
1/17/2017 0:00,798005
1/18/2017 0:00,787071
1/19/2017 0:00,804010
1/20/2017 0:00,823242
1/21/2017 0:00,869907
1/22/2017 0:00,865928
1/23/2017 0:00,790204
1/24/2017 0:00,780377
1/25/2017 0:00,772369
1/26/2017 0:00,777407
1/27/2017 0:00,933055
1/28/2017 0:00,1007451
1/29/2017 0:00,966828
1/30/2017 0:00,896830
1/31/2017 0:00,912614
2/1/2017 0:00,931120
2/2/2017 0:00,944817
2/3/2017 0:00,983760
2/4/2017 0:00,1040877
2/5/2017 0:00,1022731
2/6/2017 0:00,919171
2/7/2017 0:00,818519
2/8/2017 0:00,824841
2/9/2017 0:00,839432
2/10/2017 0:00,882398
2/11/2017 0:00,944609
2/12/2017 0:00,915733
2/13/2017 0:00,816284
2/14/2017 0:00,763854
2/15/2017 0:00,828207
2/16/2017 0:00,864908
2/17/2017 0:00,880635
2/18/2017 0:00,924359
2/19/2017 0:00,900158
2/20/2017 0:00,813340
2/21/2017 0:00,816915
2/22/2017 0:00,824230
2/23/2017 0:00,836361
2/24/2017 0:00,891018
2/25/2017 0:00,938859
2/26/2017 0:00,869726
2/27/2017 0:00,798602
2/28/2017 0:00,760247
3/1/2017 0:00,793551
3/2/2017 0:00,792133
3/3/2017 0:00,838369
3/4/2017 0:00,886096
3/5/2017 0:00,836762
3/6/2017 0:00,740427
3/7/2017 0:00,770591
3/8/2017 0:00,791145
3/9/2017 0:00,751210
3/10/2017 0:00,851839
3/11/2017 0:00,916995
3/12/2017 0:00,871958
3/13/2017 0:00,761569
3/14/2017 0:00,758831
3/15/2017 0:00,756315
3/16/2017 0:00,751091
3/17/2017 0:00,868543
3/18/2017 0:00,945789
3/19/2017 0:00,886398
3/20/2017 0:00,808535
3/21/2017 0:00,549146
3/22/2017 0:00,552204
3/23/2017 0:00,796385
3/24/2017 0:00,855034
3/25/2017 0:00,881402
3/26/2017 0:00,864526
3/27/2017 0:00,785429
3/28/2017 0:00,767539
3/29/2017 0:00,768780
3/30/2017 0:00,780174
3/31/2017 0:00,814617
4/1/2017 0:00,877691
4/2/2017 0:00,862265
4/3/2017 0:00,811103
4/4/2017 0:00,786278
4/5/2017 0:00,803248
4/6/2017 0:00,803526
4/7/2017 0:00,851614
4/8/2017 0:00,921318
4/9/2017 0:00,856823
4/10/2017 0:00,732923
4/11/2017 0:00,743478
4/12/2017 0:00,737123
4/13/2017 0:00,761425
4/14/2017 0:00,806490
4/15/2017 0:00,847250
4/16/2017 0:00,797696
4/17/2017 0:00,758335
4/18/2017 0:00,744324
4/19/2017 0:00,730801
4/20/2017 0:00,756855
4/21/2017 0:00,834565
4/22/2017 0:00,884941
4/23/2017 0:00,847525
4/24/2017 0:00,777807
4/25/2017 0:00,760200
4/26/2017 0:00,757343
4/27/2017 0:00,754646
4/28/2017 0:00,810855
4/29/2017 0:00,848244
4/30/2017 0:00,853022
5/1/2017 0:00,838185
5/2/2017 0:00,788655
5/3/2017 0:00,769058
5/4/2017 0:00,782872
5/5/2017 0:00,886899
5/6/2017 0:00,972876
5/7/2017 0:00,952500
5/8/2017 0:00,941005
5/9/2017 0:00,916746
5/10/2017 0:00,868699
5/11/2017 0:00,858389
5/12/2017 0:00,917185
5/13/2017 0:00,979135
5/14/2017 0:00,917636
5/15/2017 0:00,843240
5/16/2017 0:00,869592
5/17/2017 0:00,847504
5/18/2017 0:00,838472
5/19/2017 0:00,891027
5/20/2017 0:00,933878
